Order ID,Date and Time,Product ID,Customer ID,Category,Payment Method,Selling Price,Quantity
ORD1,5/19/24 7:13,PROD196,CUST480,Fashion,Credit Card,1879.16,9
ORD2,11-08-2024 20:07,PROD52,CUST978,Electronics,Credit Card,1564.59,6
ORD3,08-11-2024 19:56,PROD128,CUST189,Home Appliances,Bank Transfer,702.1,9
ORD4,5/30/24 12:48,PROD126,CUST171,Electronics,Debit Card,737.92,6
ORD5,7/13/24 17:27,PROD65,CUST255,Toys,PayPal,1749.17,5
ORD6,10/17/24 17:22,PROD121,CUST552,Fashion,PayPal,1706.03,5
ORD7,05-08-2024 05:42,PROD47,CUST814,Fashion,Credit Card,646.26,1
ORD8,6/25/24 12:38,PROD2,CUST739,Toys,Cash,1292.07,10
ORD9,10/28/24 16:13,PROD137,CUST920,Home Appliances,Bank Transfer,125.1,1
ORD10,02-01-2024 15:38,PROD136,CUST28,Books,Debit Card,281.18,6
ORD11,2/26/24 15:55,PROD104,CUST110,Books,Bank Transfer,1247.8,3
ORD12,10-06-2024 20:52,PROD165,CUST909,Books,Credit Card,202.97,1
ORD13,02-04-2024 06:36,PROD20,CUST217,Home Appliances,PayPal,1693.33,4
ORD14,2/29/24 0:43,PROD53,CUST74,Books,Cash,490.37,4
ORD15,02-05-2024 12:06,PROD147,CUST194,Electronics,PayPal,1974.19,7
ORD16,3/16/24 14:21,PROD194,CUST79,Electronics,PayPal,800.94,8
ORD17,08-07-2024 20:31,PROD30,CUST288,Books,Bank Transfer,224.91,3
ORD18,08-01-2024 01:15,PROD9,CUST346,Toys,PayPal,106.64,8
ORD19,4/24/24 23:06,PROD190,CUST198,Home Appliances,Cash,1803.04,8
ORD20,1/25/24 7:19,PROD125,CUST951,Toys,Cash,1249.61,1
ORD21,08-10-2024 20:00,PROD61,CUST575,Home Appliances,PayPal,1586.95,1
ORD22,2/22/24 17:27,PROD193,CUST281,Fashion,Bank Transfer,465.13,1
ORD23,06-11-2024 08:51,PROD24,CUST1,Fashion,Credit Card,321.62,10
ORD24,1/31/24 6:03,PROD29,CUST186,Fashion,Debit Card,824.74,8
ORD25,7/18/24 18:25,PROD42,CUST577,Fashion,Bank Transfer,1023.11,5
ORD26,10-08-2024 04:04,PROD8,CUST918,Books,Bank Transfer,1049.04,10
ORD27,05-08-2024 14:52,PROD48,CUST142,Home Appliances,Bank Transfer,517.65,8
ORD28,10/31/24 22:59,PROD136,CUST7,Home Appliances,Debit Card,141.62,1
ORD29,10/25/24 3:11,PROD195,CUST717,Electronics,Debit Card,1138.2,3
ORD30,8/21/24 15:57,PROD193,CUST426,Fashion,Credit Card,541.49,9
ORD31,7/18/24 14:56,PROD10,CUST138,Fashion,Credit Card,1814.68,3
ORD32,4/27/24 3:22,PROD144,CUST349,Electronics,Debit Card,939.9,10
ORD33,5/18/24 20:56,PROD9,CUST414,Home Appliances,Cash,127.34,5
ORD34,06-01-2024 21:59,PROD104,CUST806,Home Appliances,Cash,592.55,1
ORD35,03-05-2024 18:15,PROD18,CUST515,Toys,PayPal,580.9,1
ORD36,06-07-2024 14:23,PROD77,CUST650,Electronics,Cash,174.78,10
ORD37,01-10-2024 12:06,PROD139,CUST750,Fashion,Bank Transfer,21.15,8
ORD38,6/29/24 6:46,PROD40,CUST153,Home Appliances,Debit Card,1618.92,10
ORD39,09-05-2024 23:14,PROD104,CUST706,Home Appliances,Debit Card,1530,3
ORD40,3/17/24 1:37,PROD7,CUST592,Home Appliances,Bank Transfer,1377.05,7
ORD41,7/30/24 2:47,PROD179,CUST14,Fashion,Cash,1060.29,5
ORD42,01-09-2024 23:13,PROD146,CUST650,Electronics,Credit Card,837.66,5
ORD43,8/22/24 3:30,PROD117,CUST256,Toys,Credit Card,1424.66,9
ORD44,7/24/24 0:06,PROD163,CUST561,Books,Bank Transfer,944.56,7
ORD45,06-08-2024 11:40,PROD128,CUST989,Home Appliances,Cash,490.22,3
ORD46,4/22/24 18:47,PROD186,CUST951,Home Appliances,Bank Transfer,118.73,1
ORD47,3/16/24 23:10,PROD8,CUST16,Electronics,Debit Card,113.14,5
ORD48,02-04-2024 00:44,PROD167,CUST170,Fashion,Bank Transfer,1281.28,7
ORD49,06-02-2024 01:34,PROD144,CUST50,Fashion,Debit Card,1636.71,9
ORD50,7/30/24 21:17,PROD168,CUST885,Books,Cash,232.99,2
ORD51,07-07-2024 21:07,PROD63,CUST90,Fashion,PayPal,288.55,6
ORD52,02-08-2024 14:10,PROD16,CUST932,Toys,Credit Card,954.19,3
ORD53,6/19/24 12:24,PROD84,CUST619,Fashion,Cash,683.09,9
ORD54,7/15/24 9:23,PROD115,CUST140,Books,Cash,541.49,5
ORD55,04-11-2024 23:36,PROD48,CUST872,Fashion,PayPal,576.45,2
